Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
POL,,,592164400688.0,15595.0,4.1,5753.0,3804.0,21466.0,6864.0,40.0,37888.0
PRI,,,104988600000.0,32874.0,1.2,477.0,345.0,1534.0,578.0,6.0,2933.0
PRK,,,,,,5132.0,3860.0,14298.0,2376.0,38.0,25666.0
PRT,,,237686075635.0,23145.0,2.2,1355.0,1071.0,5514.0,2286.0,34.0,10226.0
PRY,,,38145288940.0,5415.0,,2056.0,1342.0,3181.0,466.0,38.0,7045.0
PSE,,,,,,1925.0,1010.0,1888.0,158.0,24.0,4981.0
PYF,,,,,,63.0,43.0,149.0,24.0,38.0,279.0
QAT,,,183466208791.0,64782.0,-0.2,385.0,367.0,2037.0,43.0,1.0,2832.0
REU,,,,,,202.0,133.0,445.0,108.0,,889.0
ROU,,,250077444017.0,12920.0,4.1,3016.0,2018.0,10692.0,3639.0,46.0,19365.0
RUS,,,1699876578871.0,11585.0,1.3,26483.0,13728.0,83644.0,22018.0,25.0,145872.0
RWA,,,10122472590.0,802.0,9.4,5021.0,2472.0,4752.0,382.0,83.0,12627.0
SAU,,,792966838162.0,23140.0,0.3,8521.0,4660.0,19918.0,1170.0,16.0,34269.0
SDN,,,18902284476.0,442.0,-2.6,17192.0,8731.0,15337.0,1553.0,65.0,42813.0
SEN,,,23578084052.0,1447.0,5.3,6981.0,3192.0,5618.0,505.0,52.0,16296.0
SGP,,,372062527489.0,65233.0,0.7,,,,,,
SHN,,,,,,1.0,1.0,3.0,1.0,,6.0
SLB,,,1425074226.0,2128.0,2.7,269.0,128.0,249.0,24.0,76.0,670.0
SLE,,,3941474311.0,504.0,5.5,3182.0,1590.0,2811.0,230.0,58.0,7813.0
SLV,,,27022640000.0,4187.0,2.4,1733.0,1243.0,2930.0,547.0,27.0,6454.0
SMR,,,,,,4.0,3.0,19.0,7.0,3.0,34.0
SOM,,,,,,7162.0,3245.0,4589.0,446.0,54.0,15443.0
SPM,,,,,,1.0,1.0,3.0,1.0,,6.0
SRB,,,51409167351.0,7402.0,4.2,,,,,44.0,
SSD,,,,,,4598.0,2237.0,3853.0,374.0,80.0,11062.0
STP,,,429016605.0,1995.0,2.4,91.0,42.0,76.0,6.0,26.0,215.0
SUR,,,3985250737.0,6855.0,-0.8,156.0,99.0,285.0,41.0,34.0,581.0
SVK,,,105422304976.0,19329.0,2.4,847.0,567.0,3160.0,883.0,46.0,5457.0
SVN,,,53742159517.0,25739.0,2.4,314.0,189.0,1156.0,420.0,45.0,2079.0
SWE,,,530832908738.0,51610.0,1.2,1769.0,1095.0,5145.0,2027.0,12.0,10036.0
SWZ,,,4405405802.0,3837.0,2.0,434.0,240.0,427.0,46.0,76.0,1148.0
SXM,,,,,,8.0,6.0,24.0,4.0,,42.0
SYC,,,1698843063.0,17402.0,4.7,23.0,13.0,54.0,8.0,43.0,98.0
SYR,,,,,,5302.0,3153.0,7814.0,801.0,45.0,17070.0
TCA,,,,,,8.0,6.0,22.0,3.0,7.0,38.0
TCD,,,11314951343.0,710.0,3.2,7466.0,3277.0,4806.0,397.0,77.0,15947.0
TGO,,,5459979417.0,676.0,5.3,3314.0,1584.0,2952.0,233.0,58.0,8082.0
THA,,,543649976166.0,7808.0,2.4,11713.0,9320.0,39954.0,8638.0,49.0,69626.0
TJK,,,8116626794.0,871.0,7.0,3455.0,1647.0,3931.0,288.0,73.0,9321.0
TKL,,,,,,,,1.0,,,1.0
TKM,,,,,,1828.0,953.0,2888.0,273.0,48.0,5942.0
TLS,,,1673540300.0,1294.0,3.4,482.0,278.0,477.0,55.0,69.0,1293.0
TON,,,,,,37.0,21.0,41.0,6.0,77.0,104.0
TTO,,,24100202834.0,17276.0,,283.0,175.0,782.0,155.0,47.0,1395.0
