Local,SP_DYN_LE00_IN,SP_DYN_IMRT_IN,NY_GDP_MKTP_CD,NY_GDP_PCAP_CD,NY_GDP_MKTP_KD_ZG,200343,200144,200345,200151,SP_RUR_TOTL_ZS,200101
SLB,72.0,18.0,1230459714.0,1986.0,3.2,250.0,119.0,229.0,22.0,77.0,619.0
SLE,53.0,84.0,3674794530.0,501.0,6.1,3051.0,1484.0,2575.0,219.0,59.0,7329.0
SLV,73.0,13.0,24191440000.0,3806.0,2.5,1770.0,1295.0,2787.0,504.0,29.0,6356.0
SMR,,2.0,1468895284.0,43842.0,2.4,5.0,3.0,19.0,6.0,3.0,34.0
SOM,56.0,81.0,,,,6659.0,2928.0,4197.0,401.0,56.0,14186.0
SPM,,,,,,1.0,1.0,3.0,1.0,,6.0
SRB,76.0,5.0,40630392019.0,5756.0,3.3,1415.0,1084.0,4812.0,1543.0,44.0,8854.0
SSD,57.0,64.0,,,,4579.0,2193.0,3690.0,371.0,81.0,10833.0
STP,70.0,26.0,347544772.0,1710.0,4.2,88.0,38.0,72.0,6.0,29.0,203.0
SUR,71.0,18.0,3128953537.0,5539.0,-5.6,156.0,99.0,272.0,38.0,34.0,565.0
SVK,77.0,5.0,89640616271.0,16506.0,2.1,831.0,631.0,3189.0,792.0,46.0,5442.0
SVN,81.0,2.0,44651537260.0,21623.0,3.1,307.0,197.0,1187.0,383.0,46.0,2074.0
SWE,82.0,2.0,515654671470.0,51965.0,2.1,1710.0,1176.0,4998.0,1951.0,13.0,9836.0
SWZ,57.0,46.0,3840677845.0,3448.0,1.3,431.0,243.0,396.0,44.0,77.0,1114.0
SXM,78.0,,,,0.4,8.0,7.0,23.0,3.0,,41.0
SYC,74.0,13.0,1426651766.0,15069.0,4.6,22.0,14.0,53.0,7.0,44.0,96.0
SYR,70.0,14.0,,,,5653.0,3375.0,7714.0,724.0,47.0,17466.0
TCA,,,950357510.0,25995.0,4.4,8.0,5.0,21.0,2.0,7.0,37.0
TCD,53.0,75.0,10097778354.0,693.0,-6.3,6937.0,2954.0,4314.0,357.0,77.0,14562.0
TGO,60.0,50.0,4486979198.0,597.0,5.6,3147.0,1444.0,2707.0,212.0,59.0,7510.0
THA,76.0,9.0,413430123185.0,5994.0,3.4,12170.0,9627.0,39583.0,7591.0,52.0,68971.0
TJK,70.0,32.0,6952678127.0,803.0,6.9,3130.0,1679.0,3598.0,256.0,73.0,8664.0
TKL,,,,,,,,1.0,,,1.0
TKM,68.0,42.0,36180000000.0,6390.0,6.2,1746.0,997.0,2684.0,235.0,49.0,5662.0
TLS,69.0,42.0,1656039024.0,1358.0,3.6,474.0,263.0,429.0,54.0,70.0,1219.0
TON,71.0,14.0,401109307.0,3966.0,3.4,37.0,19.0,39.0,6.0,77.0,101.0
TTO,73.0,17.0,22284780327.0,16177.0,-6.3,284.0,181.0,774.0,138.0,47.0,1378.0
TUN,76.0,15.0,41801210428.0,3698.0,1.2,2713.0,1705.0,6001.0,885.0,32.0,11304.0
TUR,77.0,10.0,863721648058.0,10821.0,3.2,20216.0,13142.0,40044.0,6426.0,26.0,79828.0
TUV,,22.0,36547800.0,3256.0,3.0,4.0,2.0,5.0,1.0,39.0,11.0
TZA,64.0,41.0,49774021003.0,966.0,6.9,23611.0,10293.0,17785.0,1360.0,68.0,53049.0
UGA,62.0,37.0,28967460677.0,731.0,4.8,18903.0,8156.0,11837.0,754.0,77.0,39649.0
URY,77.0,7.0,52687612262.0,15387.0,1.7,717.0,516.0,1691.0,500.0,5.0,3424.0
USA,79.0,6.0,18707188235000.0,57928.0,1.6,61448.0,44398.0,168608.0,48561.0,18.0,323016.0
UZB,71.0,22.0,81779012351.0,2568.0,6.1,8926.0,5854.0,15360.0,1302.0,49.0,31442.0
VAT,,,,,,,,,,,1.0
VCT,72.0,16.0,774429630.0,7075.0,1.9,26.0,18.0,56.0,10.0,49.0,109.0
VEN,72.0,21.0,,,,8423.0,5121.0,14324.0,1983.0,12.0,29851.0
VGB,,,,,,5.0,4.0,18.0,2.0,53.0,29.0
VIR,79.0,,3863000000.0,35932.0,0.9,21.0,14.0,51.0,19.0,5.0,105.0
VNM,75.0,17.0,205276172135.0,2192.0,6.2,21572.0,15124.0,50553.0,6391.0,65.0,93640.0
VUT,70.0,23.0,804332796.0,2890.0,3.5,108.0,52.0,108.0,10.0,75.0,278.0
WLF,,,,,,2.0,2.0,6.0,1.0,,12.0
WSM,73.0,14.0,799376440.0,4109.0,8.1,75.0,35.0,76.0,9.0,81.0,195.0
YEM,66.0,43.0,28084676409.0,1034.0,-9.4,10966.0,5904.0,9530.0,768.0,65.0,27168.0
ZAF,63.0,31.0,296357282715.0,5273.0,0.4,16420.0,9945.0,26963.0,2879.0,35.0,56208.0
ZMB,62.0,43.0,20954761767.0,1281.0,3.8,7501.0,3351.0,5173.0,339.0,58.0,16363.0
ZWE,60.0,36.0,20548678100.0,1465.0,0.8,5986.0,2828.0,4815.0,402.0,68.0,14030.0
ZZA,83.0,,,,,26.0,19.0,94.0,28.0,69.0,167.0
AND,,3.0,2896679212.0,37475.0,3.7,,,,,12.0,
JPN,84.0,2.0,4922538141455.0,38762.0,0.5,,,,,9.0,
LBN,79.0,7.0,51205122504.0,7630.0,1.5,,,,,12.0,
MCO,,3.0,6472990923.0,170029.0,3.5,,,,,,
UKR,71.0,8.0,93355993629.0,2188.0,2.2,,,,,31.0,
