ref_area,sex,classif1,time,obs_value
BFA,SEX_F,AGE_YTHADULT_YGE15,2018,4.6332
BFA,SEX_F,AGE_YTHADULT_Y15-64,2018,4.7612
BFA,SEX_F,AGE_YTHADULT_Y15-24,2018,8.388
BFA,SEX_F,AGE_YTHADULT_YGE25,2018,3.7048
BGD,SEX_T,AGE_YTHADULT_YGE15,2016,4.35
BGD,SEX_T,AGE_YTHADULT_Y15-64,2016,4.5
BGD,SEX_T,AGE_YTHADULT_Y15-24,2016,11.37
BGD,SEX_T,AGE_YTHADULT_YGE25,2016,2.83
BGD,SEX_M,AGE_YTHADULT_YGE15,2016,3.09
BGD,SEX_M,AGE_YTHADULT_Y15-64,2016,3.23
BGD,SEX_M,AGE_YTHADULT_Y15-24,2016,10.11
