ref_area,indicator,source,sex,classif1,time,obs_value,obs_status,note_classif,note_indicator,note_source
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_Y15-64,2015,4.99,,,,S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_Y15-24,2015,13.42,,,,S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE25,2015,3.81,,,,S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE15,2016,5,,,,S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE15,2017,5,,,,S14:4077_S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE15,2018,4.9,,,,S14:4077_S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE15,2019,4.85,,,,S14:4077_S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_Y15-64,2019,4.89,,,,S14:4077_S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_Y15-24,2019,12.44,,,,S14:4077_S3:24_S5:38
AZE,SDG_0852_SEX_AGE_RT,BA:125,SEX_T,AGE_YTHADULT_YGE25,2019,3.83,,,,S14:4077_S3:24_S5:38
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE15,2015,8.482,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2015,8.5637,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-24,2015,22.1316,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE25,2015,7.3042,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE15,2016,7.8297,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2016,7.888,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-24,2016,20.1232,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE25,2016,6.8364,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE15,2017,7.0862,B,,I11:264,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2017,7.1472,B,,I11:264,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-24,2017,19.251,B,,I11:264,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE25,2017,6.1323,B,,I11:264,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE15,2018,5.9482,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2018,6.0033,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-24,2018,15.7562,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE25,2018,5.1461,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE15,2019,5.3597,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-64,2019,5.4095,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_Y15-24,2019,14.2413,,,,R1:2384
BEL,SDG_0852_SEX_AGE_RT,BA:2257,SEX_T,AGE_YTHADULT_YGE25,2019,4.6044,,,,R1:2384
BFA,SDG_0852_SEX_AGE_RT,BA:15678,SEX_T,AGE_YTHADULT_YGE15,2018,4.6949,,,,R1:3513_T2:239_T3:240
BFA,SDG_0852_SEX_AGE_RT,BA:15678,SEX_T,AGE_YTHADULT_Y15-64,2018,4.8202,,,,R1:3513_T2:239_T3:240
BFA,SDG_0852_SEX_AGE_RT,BA:15678,SEX_T,AGE_YTHADULT_Y15-24,2018,8.619,,,,R1:3513_T2:239_T3:240
BFA,SDG_0852_SEX_AGE_RT,BA:15678,SEX_T,AGE_YTHADULT_YGE25,2018,3.8908,,,,R1:3513_T2:239_T3:240
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_YGE15,2016,4.35,,,,S5:38
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_Y15-64,2016,4.5,,,,S5:38
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_Y15-24,2016,11.37,,,,S5:38
BGD,SDG_0852_SEX_AGE_RT,BA:673,SEX_T,AGE_YTHADULT_YGE25,2016,2.83,,,,S5:38
